pais,pais_id,indicador,id_serie,2014_[yr2014],2015_[yr2015],2016_[yr2016],2017_[yr2017],2018_[yr2018],2019_[yr2019],2020_[yr2020],2021_[yr2021],2022_[yr2022],2023_[yr2023]
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,64.7,68.0431,70.969,74.2949,77.7,79.947,85.5144,87.1507,88.3754,89.229
Argentina,ARG,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,..,..,71.9057,75.1706,..,..,..,87.8221,88.69,89.44
Argentina,ARG,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,..,..,70.115,73.492,..,..,..,86.5182,88.08,89.03
Argentina,ARG,Fixed broadband subscriptions,IT.NET.BBND,6520000,6860000,7250000,7840000,8470000,8790000,9570000,10500000,11200000,11500000
Argentina,ARG,Fixed telephone subscriptions,IT.MLT.MAIN,9822470,10073100,10164800,9744370,9764010,7757240,7356170,7626360,7040870,7034210
Argentina,ARG,Mobile cellular subscriptions,IT.CEL.SETS,61200000,61800000,63700000,61900000,58600000,56400000,54800000,59100000,59700000,62700000
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,142.9902363,142.9639551,145.9179567,140.5014607,131.9371685,125.9409814,121.6001889,130.4550081,132.3578095,..
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,12233.144411918582,13679.626498095417,12699.962313775635,14532.500930851062,11752.799892297908,9955.974786804276,8535.59938004389,10738.017922338438,13935.681111004897,14187.482725296491
Argentina,ARG,Urban population,SP.URB.TOTL,39314105,39782770,40224540,40634617,41024440,41371540,41626771,41791064,41932837,42106172
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.377,91.503,91.627,91.749,91.87,91.991,92.111,92.229,92.347,92.463
Argentina,ARG,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,89.1826345303307,122.29451278758532,729.8353430874172,1619.6159696378961,1865.8654164621912,3016.156304612064,3700.8348718627303,5116.361279627481,5287.339402408884,5451.201503539836
Argentina,ARG,Secure Internet servers,IT.NET.SECR,3837,5317,32040,71731,83320,135647,167248,231834,240087,248239
Argentina,ARG,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,0.23,0.12,0.09,0.11,0.06,0.07,0.07,0.03,0.03,..
Argentina,ARG,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,7.41,9.51,8.44,8.69,7.57,8.1,9.05,9.09,7.95,..
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.36144018173218,5.77611017227173,5.54548978805542,5.45431995391846,4.87773990631104,4.7716498374939,5.27689981460571,4.64117002487183,4.80521011352539,..
Argentina,ARG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.593959987163544,0.622619986534119,0.558149993419647,0.556309998035431,0.488299995660782,0.478130012750626,0.541540026664734,0.517639994621277,..,..
Argentina,ARG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,81.1694107055664,83.762580871582,86.6178817749023,89.2329406738281,90.9728317260742,95.0775527954102,99.266227722168,107.130661010742,107.047912597656,..
Argentina,ARG,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,101.44214630127,105.110038757324,109.32640838623,112.828277587891,114.81436920166,120.815391540527,127.155448913574,140.297622680664,140.055480957031,..
Argentina,ARG,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,61.7789001464844,63.3479804992676,64.9077072143555,66.6886520385742,68.2028274536133,70.5063400268555,72.6504592895508,75.4804534912109,75.5446166992188,..
Argentina,ARG,Gini index,SI.POV.GINI,41.8,..,42.3,41.4,41.7,43.3,42.7,42.4,40.7,..
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,30.3,25.7,32,35.5,42,37.3,39.2,..
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.268,..,..,8.347,9.221,9.843,11.461,8.736,6.805,6.139
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data from database: World Development Indicators,0,0,0,0,0,0,0,0,0,0,0,0,0
Last Updated: 12/16/2024,0,0,0,0,0,0,0,0,0,0,0,0,0
